window,k,skew,cool,round,day,sample_type,profit
30,1.0,1.5,100,1,-1,IS,1409
30,1.0,1.5,100,1,0,IS,1272
30,1.0,1.5,100,2,-1,IS,1409
30,1.0,1.5,100,2,0,IS,1272
30,1.0,1.5,100,2,1,IS,3867
30,1.0,1.5,100,3,0,IS,1272
30,1.0,1.5,100,3,1,IS,3867
30,1.0,1.5,100,3,2,IS,1576
30,1.0,1.5,100,4,1,OOS,3867
30,1.0,1.5,100,4,2,OOS,1576
30,1.0,1.5,100,4,3,OOS,1360
30,1.0,1.5,100,5,2,OOS,1576
30,1.0,1.5,100,5,3,OOS,1360
30,1.0,1.5,100,5,4,OOS,2667
100,1.5,0.8,300,1,-2,IS,2410
100,1.5,0.8,300,1,-1,IS,64
100,1.5,0.8,300,1,0,IS,1119
100,1.5,0.8,300,2,-1,IS,64
100,1.5,0.8,300,2,0,IS,1119
100,1.5,0.8,300,2,1,IS,903
100,1.5,0.8,300,3,0,IS,1119
100,1.5,0.8,300,3,1,IS,903
100,1.5,0.8,300,3,2,IS,1500
100,1.5,0.8,300,4,1,OOS,903
100,1.5,0.8,300,4,2,OOS,1500
100,1.5,0.8,300,4,3,OOS,1060
100,1.5,0.8,300,5,2,OOS,1500
100,1.5,0.8,300,5,3,OOS,1060
100,1.5,0.8,300,5,4,OOS,880
200,1.5,0.8,500,1,-2,IS,1921
200,1.5,0.8,500,1,-1,IS,-234
200,1.5,0.8,500,1,0,IS,842
200,1.5,0.8,500,2,-1,IS,-234
200,1.5,0.8,500,2,0,IS,842
200,1.5,0.8,500,2,1,IS,706
200,1.5,0.8,500,3,0,IS,842
200,1.5,0.8,500,3,1,IS,706
200,1.5,0.8,500,3,2,IS,1634
200,1.5,0.8,500,4,1,OOS,706
200,1.5,0.8,500,4,2,OOS,1634
200,1.5,0.8,500,4,3,OOS,492
200,1.5,0.8,500,5,2,OOS,1634
200,1.5,0.8,500,5,3,OOS,492
200,1.5,0.8,500,5,4,OOS,912
200,1.5,1.2,500,1,-2,IS,1954
200,1.5,1.2,500,1,-1,IS,-298
200,1.5,1.2,500,1,0,IS,798
200,1.5,1.2,500,2,-1,IS,-298
200,1.5,1.2,500,2,0,IS,798
200,1.5,1.2,500,2,1,IS,690
200,1.5,1.2,500,3,0,IS,798
200,1.5,1.2,500,3,1,IS,690
200,1.5,1.2,500,3,2,IS,1338
